x   y   z   qf
0.68    7.66    0.90    66
0.70    7.66    0.90    65
0.68    7.67    0.87    61
0.68    7.67    0.92    70
0.70    7.66    0.95    70
0.70    7.67    0.93    64
0.69    7.67    0.93    65
0.70    7.69    0.91    63
0.70    7.68    0.91    65
0.70    7.67    0.94    68
0.71    7.67    0.92    65
0.71    7.67    0.95    68
0.73    7.68    0.88    63
0.73    7.68    0.87    64
0.72    7.67    0.90    66
0.72    7.68    0.84    61
0.71    7.68    0.83    62
0.71    7.67    0.87    66
0.70    7.68    0.87    64
0.68    7.67    0.88    65
0.68    7.67    0.89    65
0.68    7.68    0.90    65
0.70    7.68    0.83    62
0.75    7.67    0.93    65
0.76    7.67    0.91    65
0.73    7.67    0.87    61
0.71    7.67    0.88    65
0.70    7.66    0.89    65
0.69    7.66    0.91    65
0.69    7.67    0.89    64
0.70    7.67    0.88    65
0.71    7.68    0.82    61
0.71    7.68    0.83    64
0.70    7.67    0.87    68
0.70    7.66    0.92    69
0.72    7.68    0.85    61
0.73    7.68    0.80    62
0.73    7.67    0.84    67
0.72    7.68    0.80    59
0.72    7.67    0.84    67
0.72    7.67    0.86    65
0.71    7.68    0.87    65
0.70    7.69    0.84    61
0.71    7.69    0.85    64
0.70    7.68    0.85    63
0.70    7.68    0.87    65
0.70    7.67    0.88    65
0.69    7.68    0.88    63
0.71    7.68    0.86    64
0.70    7.69    0.86    63
0.70    7.69    0.86    64
0.69    7.68    0.89    67
0.69    7.67    0.89    65
0.67    7.68    0.91    69
0.67    7.68    0.88    61
0.66    7.68    0.88    63
0.67    7.69    0.86    62
0.68    7.68    0.88    67
0.69    7.67    0.90    66
0.73    7.68    0.86    66
0.74    7.69    0.81    61
0.73    7.68    0.81    64
0.71    7.68    0.82    63
0.70    7.68    0.84    64
0.71    7.68    0.86    65
0.71    7.69    0.85    63
0.71    7.67    0.87    66
0.71    7.69    0.86    64
0.70    7.69    0.86    62
0.70    7.67    0.88    90
0.68    7.66    0.88    63
0.69    7.66    0.89    66
0.69    7.67    0.89    64
0.70    7.67    0.83    60
0.68    7.67    0.81    59
0.70    7.67    0.84    67
0.71    7.68    0.87    66
0.69    7.67    0.91    71
0.69    7.68    0.90    64
0.70    7.67    0.92    68
0.70    7.67    0.91    63
0.70    7.67    0.92    66
0.68    7.67    0.93    67
0.68    7.67    0.93    64
0.67    7.68    0.92    64
0.67    7.69    0.90    63
0.68    7.69    0.90    65
0.68    7.68    0.92    67
0.68    7.67    0.94    67
0.70    7.66    0.98    70
0.70    7.67    0.95    65
0.71    7.66    0.93    65
0.70    7.66    0.89    61
0.70    7.67    0.91    66
0.70    7.68    0.90    63
0.71    7.68    0.94    69
0.72    7.67    0.92    65
0.71    7.67    0.91    65
0.72    7.67    0.91    66
0.72    7.66    0.91    66
0.69    7.67    0.90    65
0.67    7.67    0.89    63
0.68    7.69    0.89    63
0.65    7.68    0.87    63
0.68    7.68    0.90    68
0.67    7.69    0.92    67
0.68    7.68    0.95    68
0.69    7.69    0.92    65
0.69    7.69    0.92    64
0.71    7.68    0.93    68
0.71    7.68    0.89    63
0.72    7.69    0.90    67
0.70    7.70    0.88    61
0.69    7.70    0.89    65
0.69    7.70    0.92    66
0.70    7.69    0.92    66
0.71    7.69    0.91    65
0.70    7.67    0.91    65
0.69    7.68    0.91    64
0.69    7.69    0.93    68
0.70    7.69    0.89    63
0.72    7.68    0.91    68
0.71    7.68    0.91    65
0.72    7.68    0.94    68
0.72    7.68    0.97    69
0.72    7.68    0.99    67
0.72    7.68    0.96    65
0.72    7.68    0.94    66
0.73    7.68    0.93    66
0.72    7.69    0.92    64
0.73    7.70    0.88    63
0.72    7.71    0.84    60
0.73    7.70    0.88    68
0.73    7.70    0.88    65
0.73    7.70    0.92    68
0.73    7.70    0.95    68
0.76    7.71    0.88    64
0.76    7.70    0.93    69
0.74    7.68    0.92    65
0.74    7.68    0.96    69
0.73    7.67    0.94    64
0.73    7.67    0.92    65
0.76    7.68    0.87    66
0.75    7.67    0.86    64
0.73    7.66    0.84    62
0.72    7.68    0.89    68
0.73    7.67    0.92    91
0.72    7.66    0.93    66
0.71    7.66    0.92    64
0.68    7.65    0.91    63
0.68    7.65    0.88    62
0.69    7.65    0.89    66
0.69    7.64    0.89    65
0.69    7.65    0.91    65
0.70    7.66    0.90    64
0.70    7.67    0.95    69
0.71    7.67    0.88    61
0.70    7.68    0.86    61
0.71    7.68    0.85    65
0.71    7.69    0.86    64
0.73    7.69    0.80    62
0.72    7.69    0.85    67
0.74    7.67    0.89    70
0.75    7.66    0.89    68
0.73    7.66    0.90    65
0.75    7.66    0.85    64
0.75    7.67    0.86    65
0.75    7.67    0.86    66
0.75    7.66    0.85    65
0.74    7.66    0.86    65
0.73    7.66    0.86    65
0.71    7.65    0.90    70
0.71    7.65    0.90    65
0.69    7.67    0.90    65
0.69    7.67    0.89    64
0.71    7.67    0.89    66
0.69    7.68    0.88    62
0.69    7.67    0.88    64
0.70    7.67    0.88    65
0.72    7.69    0.84    64
0.72    7.69    0.84    64
0.71    7.68    0.87    65
0.70    7.67    0.87    64
0.71    7.66    0.90    67
0.71    7.66    0.91    66
0.70    7.66    0.90    63
0.69    7.67    0.88    62
0.70    7.66    0.87    64
0.69    7.67    0.85    62
0.69    7.67    0.85    62
0.69    7.68    0.85    64
0.69    7.67    0.87    64
0.70    7.67    0.86    64
0.70    7.67    0.89    66
0.72    7.68    0.85    63
0.73    7.68    0.86    66
0.74    7.68    0.83    63
0.72    7.68    0.82    62
0.72    7.68    0.84    64
0.72    7.69    0.86    66
0.72    7.68    0.86    66
0.71    7.67    0.88    65
0.72    7.67    0.89    66
0.71    7.66    0.91    67
0.70    7.66    0.94    69
0.65    7.65    0.90    89
0.65    7.65    0.88    62
0.66    7.66    0.88    63
0.68    7.66    0.89    66
0.69    7.66    0.90    66
0.68    7.66    0.91    65
0.71    7.66    0.91    68
0.70    7.67    0.89    64
0.71    7.67    0.87    64
0.70    7.66    0.88    64
0.69    7.67    0.86    62
0.70    7.68    0.86    65
0.70    7.68    0.87    64
0.69    7.68    0.85    63
0.71    7.68    0.87    67
0.71    7.68    0.87    65
0.70    7.69    0.87    63
0.69    7.69    0.86    63
0.70    7.69    0.86    64
0.70    7.68    0.88    67
0.70    7.67    0.90    66
0.69    7.66    0.91    65
0.69    7.65    0.89    63
